,No,MD (All Wells) (ft),TVD (ft),Bot-Hole direction (N/S)/(E/W),Bot-Hole Easting (NAD83),Bot-Hole Northing (NAD83),Total Proppant Placed (tonne),Avg Proppant Placed per Stage (tonne),Total Fluid Pumped (m3),Avg Fluid Pumped per Stage (m3),Stages Actual,Completed Length (m),Avg Frac Spacing (m),Load Fluid Rec (m3),Load Fluid (m3),Avg Fluid Pumped / Meter (m3),Avg Proppant Placed / Meter (tonne),Proppant Size 1,Avg Proppant 1 Placed (tonne),Total Proppant 1 Placed (tonne),Total Ceramic Proppant Placed (tonne),Total Sand Proppant Placed (tonne),Y_first6,SF_oil,SF_water,SF_slickwater,PC_ceramic,PC_sand
234,597,20154,10624,12.13647643,0.271456357,0.416798654,3213.0,107.1,33365.65,1112.19,30,2755.24,46.34,1905.36,36316.4,12.11,1.17,55.0,107.1,3213.0,0.0,3213.0,26307.66667,0,0,1,0,1
235,599,19934,10475,79.65517241,0.26706988800000003,0.41378215399999996,5044.0,98.9,44903.88,880.47,51,2705.17,45.64,3214.29,46514.5,16.6,1.86,55.0,98.9,5044.0,0.0,5044.0,65351.25,0,0,1,0,1
236,601,20010,10850,0.668789809,0.22201523199999998,0.37601164299999995,6029.1,100.49,43459.6,724.33,60,2658.09,45.04,3908.59,45771.5,16.35,2.27,55.0,100.49,6029.1,0.0,6029.1,136040.3333,0,1,0,0,1
237,603,20164,10863,0.7270970240000001,0.231001543,0.382959421,5985.16,99.75,42133.6,702.23,60,2738.33,46.4,4632.98,44246.47,15.39,2.19,55.0,99.75,5985.16,0.0,5985.16,108208.25,0,1,0,0,1
238,607,18501,10859,0.351812367,0.251308965,0.377950821,5200.49,100.01,41711.9,802.15,52,2221.4,43.48,2517.59,43840.99,18.78,2.34,55.0,100.01,5200.49,0.0,5200.49,97416.66667,0,1,0,0,1
239,615,20358,10630,0.876247505,0.262084332,0.4111587820000001,1486.03,39.11,47814.42,1258.27,38,2011.97,163.78,3036.52,47887.94,23.76,0.74,55.0,39.11,1486.03,0.0,1486.03,116780.25,0,0,1,0,1
240,619,20177,10383,0.35114503799999996,0.284628073,0.426388705,4575.39,157.77,9625.3,331.91,29,2795.28,98.69,0.0,9625.3,3.44,1.64,55.0,157.77,4575.39,0.0,4575.39,44261.91667,0,1,0,0,1
241,621,20259,10529,0.43424734200000004,0.289039162,0.429401425,4319.5,159.98,27923.5,1034.2,27,2741.22,100.26,0.0,27923.5,10.19,1.58,55.0,159.98,4319.5,0.0,4319.5,41685.41667,0,1,0,0,1
242,623,20341,10370,0.5773042620000001,0.292055116,0.433839233,4480.4,160.01,30998.8,1107.1,28,2803.5,102.63,0.0,31118.8,11.06,1.6,55.0,160.01,4480.4,0.0,4480.4,30425.33333,0,1,0,0,1
243,627,20669,10502,0.5599672529999999,0.29743048899999996,0.43607325799999996,2725.0,104.81,18070.5,695.02,26,1868.1,103.78,0.0,28510.8,9.67,1.46,55.0,104.81,2725.0,0.0,2725.0,40767.83333,0,1,0,0,1
244,635,20292,10651,0.89314587,0.302805863,0.449458504,9442.12,157.37,63961.23,1066.02,60,2796.13,47.79,3880.88,65847.28,22.87,3.38,55.0,157.37,9442.12,0.0,9442.12,193890.1667,0,0,1,0,1
245,637,19944,10642,0.900684932,0.311250533,0.45633824100000003,9607.42,160.12,68138.32,1135.64,60,2721.4,45.7,1759.85,68778.1,25.04,3.53,55.0,160.12,9607.42,0.0,9607.42,153879.8333,0,1,0,0,1
246,640,20587,10173,0.837390458,0.426201458,0.437298002,3663.83,159.3,8934.6,388.46,23,2976.37,105.27,29.49,9307.29,3.0,1.23,55.0,159.3,3663.83,0.0,3663.83,25264.66667,0,1,0,0,1
247,642,20036,10033,0.7924989809999999,0.43126087399999996,0.439796632,3969.83,152.69,12255.77,471.38,26,2828.75,99.33,231.19,12255.79,4.33,1.4,55.0,152.69,3969.83,0.0,3969.83,34332.91667,0,1,0,0,1
248,644,19915,10173,0.8142392479999999,0.43528214600000004,0.443244061,4474.03,159.79,10665.4,380.91,28,2758.7,102.14,0.0,10665.4,3.87,1.62,55.0,159.79,4474.03,0.0,4474.03,43469.08333,0,1,0,0,1
249,646,18543,10013,0.556813138,0.45708318299999995,0.44571245,1684.78,56.16,3693.0,123.1,30,2394.53,81.27,1974.46,3693.0,1.54,0.7,0.0,56.16,1684.78,0.0,1684.78,62622.0,0,1,0,0,1
250,648,20358,10132,0.93648539,0.46298788700000004,0.46986335,4443.23,158.69,7418.1,264.93,28,2886.27,105.69,957.18,7384.5,2.57,1.54,55.0,158.69,4443.23,0.0,4443.23,27676.66667,0,1,0,0,1
251,650,17421,10195,4.4200913239999995,0.47292617299999995,0.438764671,1560.99,55.75,3153.6,112.63,28,2144.91,79.44,1698.76,3271.37,1.47,0.73,0.0,55.75,1560.99,0.0,1560.99,42373.16667,0,1,0,0,1
252,652,19757,9924,0.026510627999999998,0.58770886,0.47721181700000004,4317.31,159.9,6849.4,253.68,27,2721.77,103.28,0.0,6849.4,2.52,1.59,55.0,159.9,4317.31,0.0,4317.31,103785.0833,0,1,0,0,1
253,654,20200,10086,0.055491662000000004,0.578866166,0.478323159,4482.69,160.1,7689.9,274.64,28,2849.18,105.45,0.0,7879.9,2.7,1.57,55.0,160.1,4482.69,0.0,4482.69,101691.8333,0,1,0,0,1
254,658,19514,9946,1.359145953,0.575784558,0.525305714,4286.4,119.07,6422.85,178.41,36,2783.31,77.26,247.86,7357.33,2.31,1.54,60.0,15.33,552.0,552.0,3734.4,117010.75,0,1,0,1,0
255,660,19186,10450,34.47826087,0.334713423,0.508877507,5771.05,97.81,52436.37,888.75,59,2535.37,42.57,2753.83,55189.37,20.68,2.28,55.0,97.81,5771.05,0.0,5771.05,57365.41667000001,0,1,0,0,1
256,662,20358,10266,47.88405797,0.336719955,0.519518418,4543.29,162.26,25253.6,901.91,28,2904.24,105.94,2347.96,25278.9,8.7,1.56,55.0,162.26,4543.29,0.0,4543.29,89838.16667,0,1,0,0,1
257,664,19931,10338,7.259405941,0.34227177200000003,0.523563099,4471.8,159.71,30130.4,1076.09,28,2706.94,99.07,0.0,30130.4,11.13,1.65,55.0,159.71,4471.8,0.0,4471.8,63104.91667000001,0,1,0,0,1
258,666,19797,10578,13.14423077,0.33829563700000004,0.5128768260000001,6404.16,160.1,48119.3,1202.98,40,2594.0,66.04,6300.94,48888.0,18.55,2.47,55.0,160.1,6404.16,0.0,6404.16,33600.75,0,1,0,0,1
259,668,20062,10438,4.764227642,0.343428914,0.515035249,6027.87,154.56,56326.7,1444.27,39,2638.0,67.19,3988.92,58365.0,21.35,2.29,55.0,154.56,6027.87,0.0,6027.87,36013.33333,0,1,0,0,1
260,670,19816,10175,4.9652605460000006,0.34614122,0.527346954,6297.9,157.45,49010.8,1225.27,40,3361.12,77.76,96.47,49010.8,14.58,1.87,55.0,157.45,6297.9,0.0,6297.9,68223.25,0,1,0,0,1
261,672,20177,10333,3.715030408,0.350552309,0.530405035,6400.45,160.01,43742.3,1093.56,40,2764.56,69.89,0.0,43742.3,15.82,2.32,55.0,160.01,6400.45,0.0,6400.45,64624.083329999994,0,1,0,0,1
262,674,19849,10161,2.9370538610000003,0.355484522,0.53315693,4373.3,156.19,32378.4,1156.37,28,2791.71,102.2,0.0,32378.4,11.6,1.57,55.0,156.19,4373.3,0.0,4373.3,57233.583329999994,0,1,0,0,1
263,676,20600,10358,2.306891423,0.36146719,0.534495076,6344.34,158.61,49897.6,1247.44,40,2889.9,73.72,3115.62,50552.62,17.27,2.2,55.0,158.61,6344.34,0.0,6344.34,37111.0,0,1,0,0,1
264,678,20374,10200,2.206684257,0.364815514,0.5386304789999999,5944.98,99.08,57908.1,965.14,60,2988.14,50.15,4215.34,59147.17,19.38,1.99,55.0,99.08,5944.98,0.0,5944.98,48954.91667,0,1,0,0,1
265,680,17746,10325,0.919958203,0.396000886,0.530828403,6409.78,160.24,42014.4,1050.36,40,2122.02,53.65,2795.47,48090.0,19.8,3.02,55.0,112.22,4488.94,0.0,6409.78,44382.0,0,1,0,0,1
266,682,19948,10468,0.28703472399999996,0.31848882300000003,0.495015971,4098.15,157.62,27096.63,1042.18,26,2762.54,70.18,5253.33,27331.1,9.81,1.48,55.0,157.62,4098.15,0.0,4098.15,52632.08333,0,1,0,0,1
267,684,20778,10625,0.245361396,0.313523783,0.49209775299999997,5159.63,99.22,45713.39,879.1,52,2523.03,49.15,2808.85,46549.15,18.12,2.05,55.0,99.22,5159.63,0.0,5159.63,64874.5,0,1,0,0,1
268,686,20440,10209,0.39994525,0.314229557,0.498731785,4472.62,159.74,8076.3,288.44,28,2887.92,105.33,1114.89,7697.3,2.8,1.55,55.0,159.74,4472.62,0.0,4472.62,81948.25,0,1,0,0,1
269,688,20587,10614,0.39567307700000004,0.320606145,0.5006936439999999,6012.19,100.2,50779.54,846.33,60,2888.33,48.67,4767.12,51820.77,17.58,2.08,55.0,100.2,6012.19,0.0,6012.19,67178.16667,0,1,0,0,1
270,690,20177,10460,0.396898209,0.325887142,0.502553441,6199.98,155.0,46515.5,1162.89,40,2764.2,70.44,0.0,47076.98,16.83,2.24,55.0,155.0,6199.98,0.0,6199.98,53451.08333,0,1,0,0,1
271,692,20217,10051,0.555292259,0.332267833,0.5138974470000001,4654.69,160.51,9570.4,330.01,29,2865.0,102.25,1883.14,9541.87,3.34,1.62,55.0,160.51,4654.69,0.0,4654.69,56684.75,0,1,0,0,1
272,694,21319,10596,0.6924746740000001,0.320819519,0.514827345,6000.47,100.01,51690.47,861.51,60,3100.76,51.82,543.07,52438.07,16.67,1.94,55.0,100.01,6000.47,0.0,6000.47,54577.333329999994,0,1,0,0,1
273,696,17461,10192,2.207960199,0.294595083,0.533466896,3104.5,114.98,5193.5,192.35,27,2075.43,76.86,159.24,5191.6,2.5,1.5,60.0,14.44,390.0,390.0,2714.5,60452.25,0,0,1,1,0
274,706,19895,10189,0.14010989,0.3729688470000001,0.5457710410000001,5620.05,144.1,48212.9,1236.23,39,2830.82,71.6,3241.44,49240.43,17.03,1.99,55.0,144.1,5620.05,0.0,5620.05,41774.33333,0,1,0,0,1
275,708,19462,10351,0.061657033,0.36893936899999996,0.543000246,6209.34,159.21,44935.3,1152.19,39,2652.6,67.2,4400.06,44689.46,16.94,2.34,55.0,159.21,6209.34,0.0,6209.34,43417.0,0,1,0,0,1
276,716,20932,10036,0.8395765470000001,0.399107114,0.587986921,4802.42,160.08,8484.65,282.82,30,3127.69,106.22,1798.36,8480.5,2.71,1.54,55.0,160.08,4802.42,0.0,4802.42,46754.0,0,1,0,0,1
277,718,20276,10112,0.342465753,0.423411187,0.546300251,4395.3,122.09,15000.7,416.69,36,2902.23,81.84,142.32,15000.72,5.17,1.51,55.0,122.09,4395.3,0.0,4395.3,20921.0,0,1,0,0,1
278,720,20728,10218,1.203389831,0.411507402,0.549214689,4422.9,126.37,9565.0,273.29,35,2904.09,81.9,1195.02,9565.0,3.29,1.52,55.0,126.37,4422.9,0.0,4422.9,56508.16667000001,0,1,0,0,1
279,722,20364,10130,0.96350365,0.408421692,0.544863823,4479.2,159.97,10172.1,363.29,28,2900.87,106.05,1172.15,10161.6,3.51,1.54,55.0,159.97,4479.2,0.0,4479.2,36691.33333,0,1,0,0,1
